Date,Station name & ID,Loco Id,Direction,Issue Type,Issue Sub category,Issue Count,Issues noted During Trial,Time,Analysis,Root Cause/Why2,Corrective Action,Issue Category,Action Taken
01-03-2026,Barddhaman Jn (BWN) (12028),30082,,SR mode,SOM,1,Loco switched to SR mode,19:52:14,"When the loco configuration was done, SOM SR authority was sent by station. After reading a known route Tag - 624, OS MA was sent by the station","Radio 1 RX: 27.03 MB
Radio 2 RX: 25.53 MB",,,
01-03-2026,Barddhaman Jn (BWN) (12028),30191,,LS mode,,,Loco switched to LS mode,,No issue observed ,"Radio 1 RX: 27.03 MB
Radio 2 RX: 25.53 MB",,,
01-03-2026,Saktigarh (SKG) (12026),30191,,LS mode,Radio Communicaiton failure,1,Loco switched to LS mode,,"Loco failed to register with the station on time, as the locoregular packets sent by loco were not received by the station, causing the loco to switch to LS Mode.","Radio 1 RX: 16.46 MB
Radio 2 RX: 7.63 MB",,,
01-03-2026,Jaugram (JRAE) (12022),30191,,LS mode,Radio Communicaiton failure,1,Loco switched to LS mode,10:17:44,As per station Log. Loco regular packets were not received to station. Hence with frame offset 5 Loco switched to LS mode. Loco has sent the loco regular packets but the station failed to receive the loco regular packets. ,"Radio 1 RX: 14.58 MB
Radio 2 RX: 330.25 KB",,,
01-03-2026,Chandanpur (CDAE) (12015),30191,,SR mode,,,Loco switched to SR mode,,No issue observed ,"Radio 1 RX: 7.48 MB
Radio 2 RX: 8.31 MB",,,
01-03-2026,Howrah (HWH) (12000),30191,,SR mode,SOM,,Loco switched to SR mode,17:21:32,"When the loco configuration was done, SOM SR authority was sent by station. After reading a known route Tag - 241 OS MA was sent by the station","Radio 1 RX: 2.80 MB
Radio 2 RX: 3.95 MB",,,
01-03-2026,Gurap (GRAE) (12020),30330,,LS mode,,,Loco switched to LS mode,0:04:18,"Data is not populated in the station log, likely suspect is the Radio Interference ","Radio 1 RX: 6.28 MB
Radio 2 RX: 3.77 MB",,,
01-03-2026,Jaugram (JRAE) (12022),30330,,Tag Missing,Tag missing,1,Tag Missing,,(TAG ID - 733),"Radio 1 RX: 14.58 MB
Radio 2 RX: 330.25 KB",,,
01-03-2026,Barddhaman Jn (BWN) (12028),30371,R,LS mode,,1,Loco switched to LS mode,,Need proper station log. The current log is not properly populated with many timestamps missing in LocoRegular and LocoReq is almost empty.,"Radio 1 RX: 27.03 MB
Radio 2 RX: 25.53 MB",,,
01-03-2026,Cheragram (CRAE) (12018),30371,DN (R),LS mode,,,Loco switched to LS mode,4:41:16,The station log is not properly populated as the mentioned incident time is not available in neither the LocoReq  or Station Regular. Need properly populated data in the station log to analyse the incident. ,"Radio 1 RX: 10.76 MB
Radio 2 RX: 12.52 MB",,,
01-03-2026,Kamarkundu (KQU) (12013),30371,DN (R),LS mode,Radio Communicaiton failure,1,Loco switched to LS mode,4:50:58,As per station Log. Loco regular packets were not received to station. Hence with frame offset 5 Loco switched to LS mode. Loco has sent the loco regular packets but the station failed to receive the loco regular packets. ,"Radio 1 RX: 10.71 MB
Radio 2 RX: 9.09 MB",,,
01-03-2026,Janai Road (JOX) (12009),30371,DN (R),LS mode,Radio Communicaiton failure,1,Loco switched to LS mode,4:59:36,As per station Log. Loco regular packets were not received to station. Hence with frame offset 5 Loco switched to LS mode. Loco has sent the loco regular packets but the station failed to receive the loco regular packets. ,"Radio 1 RX: 2.62 MB
Radio 2 RX: 5.20 MB",,,
01-03-2026,Chandanpur (CDAE) (12015),30371,DN (R),SR mode,Radio Communicaiton failure,1,Loco switched to SR mode,4:46:20,"Loco was already travelling in LS and due to non establishment of communication, the loco further degraded to SR mode.","Radio 1 RX: 7.48 MB
Radio 2 RX: 8.31 MB",,,
01-03-2026,Dankuni (DKAE) (12007),30371,DN (R),SR mode,,,Loco switched to SR mode,5:05:44,,"Radio 1 RX: 22.67 MB
Radio 2 RX: 970.00 B",,,
01-03-2026,Chandanpur (CDAE) (12015),37452,R,LS mode,Radio Communicaiton failure,1,Loco switched to LS mode,4:54:00,Loco sent Loco regular packets. but are not received to the station. Hence with Frame offset 5 Loco switched to LS mode.,"Radio 1 RX: 7.48 MB
Radio 2 RX: 8.31 MB",,,
01-03-2026,Kamarkundu (KQU) (12013),37452,R,LS mode,Radio Communicaiton failure,1,Loco switched to LS mode,4:57:34,Loco sent Loco regular packets. but are not received to the station. Hence with Frame offset 5 Loco switched to LS mode.,"Radio 1 RX: 10.71 MB
Radio 2 RX: 9.09 MB",,,
01-03-2026,Baruipara (BRPA) (12011),37452,R,LS mode,Radio Communicaiton failure,1,Loco switched to LS mode,5:03:52,Station sent station regular packets. but are not received to the Loco. Hence Loco switched to LS mode.,"Radio 1 RX: 4.60 MB
Radio 2 RX: 5.37 MB",,,
01-03-2026,Belanagar (BZL) (12006),37452,R,LS mode,Radio Communicaiton failure,1,Loco switched to LS mode,5:14:50,Loco sent Loco regular packets. but are not received to the station. Hence with Frame offset 5 Loco switched to LS mode.,"Radio 1 RX: 15.53 MB
Radio 2 RX: 7.75 MB",,,
01-03-2026,Howrah (HWH) (12000),37452,R,SR mode,KAVACH territory exit,1,Loco switched to SR mode,5:41:30,"Loco After reading Tag-249,Loco switched to SR Mode as it is Kavach territory Exit.","Radio 1 RX: 2.80 MB
Radio 2 RX: 3.95 MB",,,
01-03-2026,Barddhaman Jn (BWN) (12028),39132,,LS mode,,,Loco switched to LS mode,,No issue observed according to the station log,"Radio 1 RX: 27.03 MB
Radio 2 RX: 25.53 MB",,,
01-03-2026,Chandanpur (CDAE) (12015),39132,R,LS mode,Radio Communicaiton failure,1,Loco switched to LS mode,5:17:30,Loco sent Loco regular packets. but are not received to the station. Hence with Frame offset 5 Loco switched to LS mode.,"Radio 1 RX: 7.48 MB
Radio 2 RX: 8.31 MB",,,
